slug,name
TAM2293,TAmèoSSpoon thạch vị cngừ KCPG 60g - MP608
TAM2300,MR.VET TUNA &CRAB NUTRITION CANNED CAT FOOD (400G/CAN)
TAM2302,MR.VET SALMON &PUMPKIN NUTRITION CANNED CAT FOOD(400G/CAN)
TAM2305,MR.VET VITAMIN NUTRITION CANNED CAT FOOD (400G/CAN)
TAM2306,MR.VET L-LYSINE NUTRITION CANNED CAT FOOD (400G/CAN)
TAM2307,MR.VET OMEGA-3 NUTRITION CANNED CAT FOOD (400G/CAN)
TAM2319,Thuc An Meo-Vi Ca Ngu & Ca Hoi 70g_2026
TAM2320,Thuc An Meo-Vi ca Bien &Tom 70g_2026
TAM2321,Thuc An Meo-Vi Ca Ngu & Ca Thu 70g_2026
TAM2322,Thuc An Meo-Vi Ca Thu & Ca Hoi 80g_2026
TCN1012,BIO-HEPATOL + B12 INJ-100ml/lọ
TCN1013,TABS RenoVet
TCN1014,TA Omega 3 _ 90 viên (VetActiv8 Omega 3)
TCN2000,"DOCA Lyte_6,8g_Gói(Pet) GOI"
TCN2001,Probisol 5g Gói(Pets)
TCN2003,Nuvita Gel 120g Tube(nhôm vàng)
TCN2005,Bromhexine Oral_30ml_Chai(Pets)
TCN2009,DiarAid (Dog) - ống 3ml- hộp 3 ống
TCN2012,Calcium delight (cat)_2.5mlx20
TCN2013,Calcium delight (dog)_5mlx20
TCN2014,BIOTIC - 5g/Gói
TCN2025,Pet Liver - KLT 350mg (4 vỉ x 10 Viên)
TCN2063,Dầu Cá Hồi Omega Oil For Pet (Mèo) 150ml Q8
TCN2072,TABS 120g (Hairball) (KC87927)
TCN2085,Thuốc Thú Y - BROM MAX (Hộp/15g)
TGV2020,NEXGARD SPECTRA 0.5G- Hộp 03 viên (XS 2-3.5kg)
TGV2021,NEXGARD SPECTRA 1G- Hộp 03 viên (S >3.5-7.5kg)
TGV2022,NEXGARD SPECTRA 2G- Hộp 03 viên (M >7.5-15kg)
TGV2025,NEXGARD COMBO for CAT 0.3ML(<2.5kg)
TGV2028,NEXGARD DOG L 6 68MG (10-25kg)
TGV2031,Bravecto 250mg
TGV2032,Bravecto 500mg
TGV2033,Bravecto 1000mg
TGV2039,"Iverguard chó 11,6–22,5kg (6 viên/vĩ/hộp)"
TGV2040,"Iverguard chó 5,6–11,5kg_(6 viên/vĩ/hộp)"
TGV2041,"Iverguard chó 2,5–5,5kg (6 viên/vĩ/hộp)"
TH 768,TH 768
TKS2001,Respicure_10viên/Hộp(50mg/v)
TKS2005,Revital (3.6mg-dog)(5 viên/vĩ_hộp 2 vĩ)
TKS2007,Revital (5.4 mg - dog)(5 viên/vĩ_hộp 2 v
TKS2015,Clamox Tab_10viên/Hộp
TKS2016,Clamox Tab_20viên/Hộp(50mg/viên)
TKS2017,REVITAL (16mg-DOG)_(5 viên/vĩ- hộp 2 vĩ)
TKS3013,Thuốc thú y Biopirox 10 mg/ml
TQP1019,"Bỉm quần dùng một lần cho thú cưng cái, size L, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%"
TQP1020,"Bỉm quần dùng một lần cho thú cưng cái, size S, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%"
TQP1022,"Bỉm quần dùng một lần cho thú cưng đực, size M, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%"
TQP1023,"Bỉm quần dùng một lần cho thú cưng cái, size M, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%"
TQP1024,"Bỉm quần dùng một lần cho thú cưng đực, size S, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%"
TTP1089,Áo kẻ sọc Bear size 11
TTP1090,Áo kẻ sọc Bear size 12
TTP1091,Áo kẻ sọc Bear size 13
TTP1092,Áo kẻ sọc Bear size 14
TTP1093,Áo kẻ sọc Bear size 15
TTP1101,Áo nón phối tay thêu hoạt hình size 10
TTP1127,Áo Baby Nice size 10
TTP1128,Áo Baby Nice size 11
TTP1192,Áo Baby Nice size 12
TTP1193,Áo Baby Nice size 13
TTP1194,Áo Baby Nice size 14
TTP1195,Áo Baby Nice size 15
TTP1336,Áo Capybara size 10
TTP1338,Áo sát nách sọc cổ sen size 10
TTP1343,Áo kẻ sọc Bear size 10
TTP1363,Áo gấu cổ V size 10
TTP1370,Áo địu gấu size 10
TTP1425,Áo địu gấu size 13
TTP1434,Áo địu gấu size 12
TTP1435,Áo địu gấu size 14
TTP1436,Áo địu gấu size 15
TTP1452,Áo lưới Lovely size 10
TTP1453,Áo lưới Lovely size 11
TTP1454,Áo lưới Lovely size 12
TTP1455,Áo lưới Lovely size 13
TTP1456,Áo lưới Lovely size 14
TTP1457,Áo lưới Lovely size 15
TTP1458,Áo Capybara size 12
TTP1459,Áo Capybara size 13
TTP1460,Áo Capybara size 14
TTP1461,Áo Capybara size 15
TVC1006,TÚI NYLON TRUNG
TVC1011,"TÚI CÓ QUAI ĐEO VÀ TAY CẦM CHO VẬT NUÔI SP1062, BẰNG VẢI POLYESTER, KÍCH THƯỚC 32X23X40"
VAC1001,VẮC XIN THÚ Y - VANGUARD PLUS 5/CV-L ( 1 DOSE )
VAC1002,VẮC XIN THÚ Y - VANGUARD PLUS 5 ( 1 DOSE 1ML 1'S)
VAC1003,VẮC XIN THÚ Y - VANGUARD RABIES 3 YEAR (1 DOSE)
VAC1005,HIPRADOG-7 1 ds
VAC1006,RECOMBITEK FL C6/CV 1ds
VCP1024,Gối chống liếm trái cây 1
VCP1028,Gối chống liếm trái cây 5
